== Reading-layer axiom evidence ==
== Generated 2026-08-09T07:52:11Z from the v0.4.0 tree by 'lake env lean' on a check file printing the axiom footprint of every declaration in the three reading-layer modules (57 declarations: MathematicalInterface 36, SourceIntegrationSpaceDef11 12, DiracIntegrationSpace 9). The check file lives outside the tracked Lean closure so that the 512-file invariant is preserved. ==
'BishopCheng.PartialFunction' depends on axioms: [propext, Quot.sound]
'BishopCheng.IntegrationSpace' depends on axioms: [propext, Quot.sound]
'BishopCheng.IntegrableFunction' depends on axioms: [propext, Quot.sound]
'BishopCheng.IntegrableFunction.integral' depends on axioms: [propext, Quot.sound]
'BishopCheng.IntegrableFunction.domain' depends on axioms: [propext, Quot.sound]
'BishopCheng.IsNonnegative' depends on axioms: [propext, Quot.sound]
'BishopCheng.IsFullSet' depends on axioms: [propext, Quot.sound]
'BishopCheng.ComplementedSet' does not depend on any axioms
'BishopCheng.IsIntegrableSet' depends on axioms: [propext, Quot.sound]
'BishopCheng.IsIntegrableSet.measure' depends on axioms: [propext, Quot.sound]
'BishopCheng.IntegrableFunction.asPartialFunction' depends on axioms: [propext, Quot.sound]
'BishopCheng.ConvergesInMeasure' depends on axioms: [propext, Quot.sound]
'BishopCheng.AbsLeOnSomeFullSet' depends on axioms: [propext, Quot.sound]
'BishopCheng.DominatedOnFullSets' depends on axioms: [propext, Quot.sound]
'BishopCheng.IntegralsConvergeTo' depends on axioms: [propext, Quot.sound]
'BishopCheng.Profile' depends on axioms: [propext, Quot.sound]
'BishopCheng.Profile.IsSmoothAt' depends on axioms: [propext, Quot.sound]
'BishopCheng.Profile.partition' depends on axioms: [propext, Quot.sound]
'BishopCheng.exceptionalLevels' depends on axioms: [propext, Quot.sound]
'BishopCheng.IsApartFromExceptionalLevels' depends on axioms: [propext, Quot.sound]
'BishopCheng.profileOf' depends on axioms: [propext, Quot.sound]
'BishopCheng.profile_isSmoothAt_of_apart' depends on axioms: [propext, Quot.sound]
'BishopCheng.smoothValue' depends on axioms: [propext, Quot.sound]
'BishopCheng.ApartFromSequence' depends on axioms: [propext, Quot.sound]
'BishopCheng.apartFromSequence' depends on axioms: [propext, Quot.sound]
'BishopCheng.exists_real_apart_from_sequence' depends on axioms: [propext, Quot.sound]
'BishopCheng.levelSetsIntegrableAtApartLevel' depends on axioms: [propext, Quot.sound]
'BishopCheng.levelSet_measure_eq' depends on axioms: [propext, Quot.sound]
'BishopCheng.DyadicSmoothLevels' depends on axioms: [propext, Quot.sound]
'BishopCheng.dyadicSmoothLevels' depends on axioms: [propext, Quot.sound]
'BishopCheng.DyadicLevelSetData' depends on axioms: [propext, Quot.sound]
'BishopCheng.DyadicSmoothLevels.levelSets' depends on axioms: [propext, Quot.sound]
'BishopCheng.dyadicLevelSetData' depends on axioms: [propext, Quot.sound]
'BishopCheng.uniformComplementEstimate' depends on axioms: [propext, Quot.sound]
'BishopCheng.dominated_convergence' depends on axioms: [propext, Quot.sound]
'BishopCheng.dominated_convergence_of_majorant' depends on axioms: [propext, Quot.sound]
'BishopCheng.IntegrationSpaceDef11' depends on axioms: [propext, Quot.sound]
'BishopCheng.one_mul_equivC' depends on axioms: [propext, Quot.sound]
'BishopCheng.neg_one_mul_equivC' depends on axioms: [propext, Quot.sound]
'BishopCheng.mul_min_distribC' depends on axioms: [propext, Quot.sound]
'BishopCheng.IntegrationSpaceDef11.add_mem' depends on axioms: [propext, Quot.sound]
'BishopCheng.IntegrationSpaceDef11.smul_mem' depends on axioms: [propext, Quot.sound]
'BishopCheng.IntegrationSpaceDef11.I_add' depends on axioms: [propext, Quot.sound]
'BishopCheng.IntegrationSpaceDef11.I_smul' depends on axioms: [propext, Quot.sound]
'BishopCheng.IntegrationSpaceDef11.pos_witness' depends on axioms: [propext, Quot.sound]
'BishopCheng.IntegrationSpaceDef11.I_nonneg' depends on axioms: [propext, Quot.sound]
'BishopCheng.IntegrationSpaceDef11.cutPos_mem' depends on axioms: [propext, Quot.sound]
'BishopCheng.IntegrationSpaceDef11.toIntSpaceC' depends on axioms: [propext, Quot.sound]
'BishopCheng.diracL' depends on axioms: [propext, Quot.sound]
'BishopCheng.diracI' depends on axioms: [propext, Quot.sound]
'BishopCheng.oneEverywhere' depends on axioms: [propext, Quot.sound]
'BishopCheng.natGeBound_spec' depends on axioms: [propext, Quot.sound]
'BishopCheng.cutNat_tendsto_point' depends on axioms: [propext, Quot.sound]
'BishopCheng.cutSmall_tendsto_point' depends on axioms: [propext, Quot.sound]
'BishopCheng.diracDef11' depends on axioms: [propext, Quot.sound]
'BishopCheng.diracCutConst' depends on axioms: [propext, Quot.sound]
'BishopCheng.diracIntSpaceC' depends on axioms: [propext, Quot.sound]
